"Catalogue ID","Churchwell ID","l","b","Effective Radius (arcmin)","Thickness (arcmin)","Eccentricity","Position Angle (deg)","Hit Rate","Dispersion (arcmin)","Hierarchy Flag"
MWP1G049645-003807,,049.645,-0.381,0.52,0.61,0.51,28,0.12,0.002,2
MWP1G048396-009195,,048.396,-0.920,0.81,0.45,0.38,19,0.12,0.003,
MWP1G015180-001503,,015.180,-0.150,0.50,0.51,0.37,28,0.12,0.005,
MWP1G023660-002527,,023.660,-0.253,0.52,0.50,0.12,7,0.12,0.002,
MWP1G029136-001438,,029.136,-0.144,0.49,0.63,0.31,36,0.12,0.003,
MWP1G045476+001340,,045.476,+0.134,1.39,1.28,0.27,36,0.12,0.003,
MWP1G308633-002936,,308.633,-0.294,0.56,0.56,0.39,26,0.12,0.003,
MWP1G030402-001147,,030.402,-0.115,0.54,0.87,0.18,7,0.12,0.004,
MWP1G044165+004499,,044.165,+0.450,3.42,2.54,0.27,23,0.12,0.022,
MWP1G011804-001510,,011.804,-0.151,0.59,0.54,0.08,3,0.12,0.002,2
MWP1G063049-003298,,063.049,-0.330,1.44,1.30,0.25,6,0.12,0.008,2
MWP1G297390-006335,,297.390,-0.633,0.70,0.77,0.15,42,0.12,0.006,2
MWP1G345611-000089,,345.611,-0.009,0.78,0.63,0.24,5,0.12,0.003,2
MWP1G351585-003560,,351.585,-0.356,0.74,0.89,0.19,8,0.12,0.005,
MWP1G358422-007416,,358.422,-0.742,1.61,1.44,0.41,32,0.12,0.009,
MWP1G298477+001040,,298.477,+0.104,1.00,0.99,0.28,11,0.12,0.006,
MWP1G344701-005406,,344.701,-0.541,2.15,1.29,0.22,12,0.12,0.007,2
MWP1G053577+000094,,053.577,+0.009,1.09,1.01,0.44,29,0.12,0.005,2
MWP1G325249-001251,,325.249,-0.125,4.55,3.94,0.64,21,0.12,0.076,
MWP1G327314-005502,,327.314,-0.550,0.65,0.81,0.34,27,0.12,0.001,
MWP1G304808+006698,,304.808,+0.670,0.77,1.10,0.11,7,0.12,0.003,
MWP1G057781+002912,,057.781,+0.291,1.03,0.79,0.34,31,0.12,0.003,
MWP1G311947+004496,,311.947,+0.450,1.11,0.95,0.44,32,0.12,0.008,
MWP1G032914+002086,,032.914,+0.209,0.32,0.38,0.16,0,0.12,0.001,
MWP1G048507+001330,,048.507,+0.133,1.19,0.83,0.23,25,0.12,0.004,
MWP1G006015-009522,,006.015,-0.952,6.48,4.27,0.26,7,0.12,0.044,
MWP1G307402-005802,,307.402,-0.580,0.39,0.28,0.80,15,0.12,0.002,2
MWP1G317291+001728,,317.291,+0.173,2.81,1.66,0.43,10,0.12,0.018,
MWP1G051401-008242,,051.401,-0.824,0.79,0.81,0.11,15,0.12,0.005,
MWP1G311883+001018,,311.883,+0.102,1.00,1.05,0.33,44,0.12,0.005,2
MWP1G038552+001618,,038.552,+0.162,0.39,0.49,0.14,25,0.12,0.002,
MWP1G046090-009162,,046.090,-0.916,1.04,0.98,0.17,1,0.12,0.003,
MWP1G308199-000374,,308.199,-0.037,1.95,1.66,0.36,24,0.12,0.020,
MWP1G304944-005830,,304.944,-0.583,2.20,1.98,0.55,5,0.12,0.010,
MWP1G312442+005041,,312.442,+0.504,0.56,0.59,0.51,69,0.12,0.002,
MWP1G339100+007036,,339.100,+0.704,1.93,1.57,0.31,62,0.12,0.008,
MWP1G359569-004772,,359.569,-0.477,2.46,2.64,0.44,40,0.12,0.017,
MWP1G344223-005968,,344.223,-0.597,0.77,0.87,0.38,3,0.12,0.003,
MWP1G044360+004759,,044.360,+0.476,1.80,2.09,0.20,17,0.12,0.011,1
MWP1G043791-008252,,043.791,-0.825,2.23,1.71,0.42,2,0.12,0.007,
MWP1G342040+003934,S20,342.040,+0.393,1.09,0.85,0.64,98,0.12,0.014,
MWP1G327632-003554,,327.632,-0.355,0.46,0.70,0.00,21,0.12,0.002,2
MWP1G052901-009012,,052.901,-0.901,0.28,0.18,0.11,0,0.12,0.001,
MWP1G052896-008829,,052.896,-0.883,0.29,0.27,0.00,6,0.12,0.001,
MWP1G309957+007464,,309.957,+0.746,0.48,0.72,0.16,22,0.12,0.003,
MWP1G320205+008669,,320.205,+0.867,0.55,0.49,0.64,55,0.12,0.002,
MWP1G311500+003326,,311.500,+0.333,1.18,1.22,0.21,1,0.12,0.005,1
MWP1G023512-000287,,023.512,-0.029,0.68,0.53,0.00,0,0.12,0.003,2
MWP1G312033+005802,,312.033,+0.580,2.07,1.30,0.53,41,0.12,0.013,
MWP1G344869-005683,,344.869,-0.568,0.50,0.57,0.32,29,0.12,0.002,
MWP1G301192+002134,,301.192,+0.213,0.86,0.82,0.43,59,0.12,0.003,
MWP1G303852-002774,,303.852,-0.277,0.49,0.76,0.38,0,0.12,0.001,
MWP1G304552+003393,,304.552,+0.339,0.30,0.26,0.17,0,0.12,0.001,
MWP1G333136-003874,,333.136,-0.387,0.48,0.35,0.50,32,0.12,0.002,
MWP1G319684+000574,,319.684,+0.057,2.40,0.95,0.75,12,0.12,0.007,
MWP1G323987+000832,,323.987,+0.083,0.63,0.39,0.54,17,0.12,0.003,2
MWP1G334424-008678,,334.424,-0.868,0.46,0.43,0.86,8,0.12,0.003,2
MWP1G034724-006118,,034.724,-0.612,0.30,0.20,0.29,9,0.12,0.001,2
MWP1G036016+000408,,036.016,+0.041,0.44,0.50,0.34,32,0.12,0.003,
MWP1G299754+003905,,299.754,+0.391,1.84,1.54,0.29,22,0.12,0.005,
MWP1G026557-002997,,026.557,-0.300,0.42,0.37,0.21,15,0.12,0.004,2
MWP1G031828-001753,,031.828,-0.175,0.83,0.69,0.49,25,0.12,0.006,2
MWP1G053987+004348,,053.987,+0.435,1.02,0.92,0.66,18,0.12,0.012,
MWP1G063796+006466,,063.796,+0.647,4.29,3.00,0.29,4,0.12,0.023,
MWP1G311670-007523,,311.670,-0.752,0.46,0.42,0.61,0,0.12,0.001,2
MWP1G332424-003559,,332.424,-0.356,3.14,2.63,0.46,34,0.12,0.032,
MWP1G346100-003586,,346.100,-0.359,1.01,0.86,0.28,0,0.12,0.006,1
MWP1G330659+005769,,330.659,+0.577,0.42,0.48,0.50,0,0.12,0.002,
MWP1G309963+003993,,309.963,+0.399,1.41,1.07,0.57,26,0.12,0.005,2
MWP1G326303+005745,,326.303,+0.575,4.01,7.02,0.78,31,0.12,0.048,1
MWP1G000422-005525,,000.422,-0.553,1.05,1.39,0.14,32,0.12,0.004,2
MWP1G028639+004832,,028.639,+0.483,0.99,0.89,0.30,31,0.12,0.004,2
MWP1G326607-004680,,326.607,-0.468,3.68,3.25,0.42,32,0.12,0.051,
MWP1G336821-002829,,336.821,-0.283,0.53,0.46,0.26,6,0.12,0.002,
MWP1G350280-003033,,350.280,-0.303,1.38,1.46,0.27,0,0.12,0.004,
MWP1G049614-004739,,049.614,-0.474,4.92,3.05,0.28,27,0.12,0.068,1
MWP1G040841-002001,,040.841,-0.200,1.16,0.76,0.24,0,0.12,0.006,2
MWP1G310020+004326,,310.020,+0.433,0.84,0.89,0.21,23,0.12,0.003,
MWP1G339696+003410,,339.696,+0.341,2.00,1.46,0.45,67,0.12,0.009,
MWP1G328321-004125,,328.321,-0.413,1.41,1.25,0.54,58,0.12,0.007,
MWP1G353166+005003,,353.166,+0.500,1.26,0.97,0.63,69,0.12,0.005,2
MWP1G025752+001611,,025.752,+0.161,3.18,2.09,0.76,57,0.12,0.026,2
MWP1G021187-007083,,021.187,-0.708,1.55,0.90,0.34,50,0.12,0.011,
MWP1G312469+006741,,312.469,+0.674,1.31,1.66,0.19,25,0.12,0.012,
MWP1G035613+000564,,035.613,+0.056,1.36,1.62,0.73,33,0.12,0.008,
MWP1G014757+006703,,014.757,+0.670,5.31,5.46,0.11,14,0.12,0.029,
MWP1G297796-004554,,297.796,-0.455,1.25,0.71,0.51,33,0.12,0.007,1
MWP1G032112-003681,,032.112,-0.368,0.62,0.61,0.76,10,0.12,0.005,
MWP1G037660+001702,,037.660,+0.170,2.02,1.51,0.43,27,0.12,0.027,1
MWP1G345373-009412,,345.373,-0.941,2.91,2.96,0.34,7,0.12,0.034,
MWP1G358548-004487,,358.548,-0.449,0.56,0.66,0.43,22,0.12,0.003,2
MWP1G026651-001149,,026.651,-0.115,4.98,4.57,0.16,50,0.12,0.032,1
MWP1G034261+001357,,034.261,+0.136,1.20,1.04,0.61,23,0.12,0.008,2
MWP1G344471-005539,,344.471,-0.554,1.05,1.06,0.27,12,0.12,0.004,2
MWP1G317443-003888,,317.443,-0.389,1.10,1.50,0.38,10,0.12,0.005,
MWP1G017208+001634,,017.208,+0.163,2.77,2.38,0.39,37,0.12,0.019,
MWP1G320384+003090,,320.384,+0.309,0.60,0.41,0.44,14,0.12,0.003,
MWP1G053600+000497,,053.600,+0.050,0.91,1.01,0.49,32,0.12,0.005,2
MWP1G338406-002019,,338.406,-0.202,0.66,0.68,0.33,5,0.12,0.002,
MWP1G045027-008420,,045.027,-0.842,0.65,0.72,0.21,71,0.12,0.002,
MWP1G333297+002473,,333.297,+0.247,1.10,1.22,0.39,60,0.12,0.007,
MWP1G340451-005563,,340.451,-0.556,0.47,0.58,0.20,2,0.12,0.004,
MWP1G301136-002263,,301.136,-0.226,1.39,1.95,0.21,17,0.12,0.006,2
MWP1G308792-006344,,308.792,-0.634,1.18,0.74,0.15,30,0.12,0.006,
MWP1G046643-000236,,046.643,-0.024,0.91,0.78,0.15,36,0.12,0.004,
MWP1G018174-004051,N21,018.174,-0.405,0.93,0.70,0.29,29,0.12,0.011,2
MWP1G006121-000805,,006.121,-0.081,0.55,0.76,0.39,6,0.12,0.003,
MWP1G038184+007767,,038.184,+0.777,0.57,0.50,0.71,57,0.12,0.002,
MWP1G049695+003469,,049.695,+0.347,0.50,0.53,0.31,25,0.12,0.003,
MWP1G330936-002567,,330.936,-0.257,0.33,0.26,0.25,15,0.12,0.001,
MWP1G314629+002949,,314.629,+0.295,0.49,0.61,0.76,67,0.12,0.003,
MWP1G335316+004099,,335.316,+0.410,1.48,1.44,0.28,12,0.12,0.012,1
MWP1G348206+004239,,348.206,+0.424,0.55,0.63,0.47,46,0.12,0.003,2
MWP1G012913-002343,,012.913,-0.234,0.81,0.49,0.29,0,0.12,0.006,2
MWP1G052049-006470,,052.049,-0.647,1.17,0.70,0.11,4,0.12,0.002,2
MWP1G310946+000130,,310.946,+0.013,0.49,0.62,0.55,32,0.12,0.004,
MWP1G320741+004713,,320.741,+0.471,2.66,1.85,0.33,20,0.12,0.019,1
MWP1G332456+006402,,332.456,+0.640,0.44,0.62,0.26,3,0.12,0.001,
MWP1G002828-000526,,002.828,-0.053,0.66,0.52,0.53,61,0.12,0.003,2
MWP1G024897-003335,,024.897,-0.333,0.54,0.59,0.56,7,0.12,0.001,
MWP1G045120-001184,,045.120,-0.118,0.51,0.50,0.39,0,0.12,0.003,
MWP1G348337-008164,,348.337,-0.816,0.47,0.46,0.29,53,0.12,0.001,
MWP1G011398-006966,,011.398,-0.697,0.41,0.45,0.31,2,0.12,0.002,
MWP1G303065+001642,,303.065,+0.164,0.55,0.58,0.25,29,0.12,0.002,2
MWP1G345105-008845,,345.105,-0.885,0.95,0.87,0.28,0,0.12,0.002,2
MWP1G309149-003162,,309.149,-0.316,1.11,0.80,0.34,28,0.12,0.010,2
MWP1G326620-008222,,326.620,-0.822,1.28,0.77,0.37,34,0.12,0.004,
MWP1G010473+000216,CN151,010.473,+0.022,0.28,0.19,0.36,0,0.12,0.003,
MWP1G034270-002062,,034.270,-0.206,0.50,0.32,0.40,55,0.12,0.003,
MWP1G049500+004285,,049.500,+0.428,0.58,0.32,0.27,0,0.12,0.001,
MWP1G031061+004885,,031.061,+0.489,0.85,0.71,0.06,36,0.12,0.009,
MWP1G300091-003841,,300.091,-0.384,8.87,6.13,0.26,14,0.12,0.064,1
MWP1G049538+001652,,049.538,+0.165,0.67,0.59,0.23,18,0.12,0.004,
MWP1G329390+001339,,329.390,+0.134,0.84,0.93,0.41,23,0.12,0.005,2
MWP1G336361-001387,,336.361,-0.139,0.66,0.61,0.18,24,0.12,0.004,
MWP1G037925-005732,,037.925,-0.573,0.86,0.77,0.08,21,0.12,0.002,
MWP1G349123+000085,,349.123,+0.009,1.04,0.93,0.39,2,0.12,0.007,1 2
MWP1G321079-004185,,321.079,-0.419,2.10,1.65,0.14,18,0.12,0.009,
MWP1G343367-002350,,343.367,-0.235,0.53,0.45,0.13,4,0.12,0.001,
MWP1G317209+006516,,317.209,+0.652,1.15,0.82,0.42,32,0.12,0.009,
MWP1G025323+002898,N37,025.323,+0.290,3.35,2.36,0.48,7,0.12,0.034,1
MWP1G048508-006321,,048.508,-0.632,1.40,1.43,0.43,20,0.12,0.010,
MWP1G046169-001008,,046.169,-0.101,0.83,0.84,0.21,9,0.12,0.004,
MWP1G006109-001759,,006.109,-0.176,0.48,0.51,0.27,15,0.12,0.003,2
MWP1G020715-002896,,020.715,-0.290,0.52,0.48,0.45,0,0.12,0.003,
MWP1G053084+002253,,053.084,+0.225,2.85,1.92,0.06,25,0.12,0.054,
MWP1G338361-000970,,338.361,-0.097,0.76,0.67,0.37,2,0.12,0.003,
MWP1G298861+001940,,298.861,+0.194,1.59,1.10,0.34,19,0.12,0.009,2
MWP1G006778-003095,,006.778,-0.310,0.58,0.71,0.43,25,0.12,0.002,
MWP1G356090-000756,,356.090,-0.076,0.52,0.62,0.42,34,0.12,0.003,
MWP1G336715-005516,,336.715,-0.552,0.99,0.97,0.42,36,0.12,0.004,
MWP1G358385+000896,,358.385,+0.090,1.58,1.13,0.18,2,0.12,0.009,
MWP1G329422-001589,,329.422,-0.159,0.41,0.44,0.57,5,0.12,0.002,
MWP1G040358-007174,,040.358,-0.717,0.95,1.06,0.84,39,0.12,0.008,
MWP1G061608-000502,,061.608,-0.050,1.78,1.39,0.24,18,0.12,0.007,
MWP1G306322+003538,,306.322,+0.354,1.42,1.37,0.26,13,0.12,0.005,1
MWP1G340625+003496,,340.625,+0.350,0.53,0.56,0.34,9,0.12,0.003,2
MWP1G037613+002691,,037.613,+0.269,0.59,0.39,0.20,15,0.12,0.008,
MWP1G300379+000727,,300.379,+0.073,0.55,0.55,0.08,0,0.12,0.001,
MWP1G297369+002084,,297.369,+0.208,0.67,0.51,0.12,0,0.12,0.002,
MWP1G016800+000607,,016.800,+0.061,0.39,0.71,0.08,0,0.12,0.001,
MWP1G307619-002594,,307.619,-0.259,0.90,1.19,0.51,11,0.12,0.004,
MWP1G348706-004398,,348.706,-0.440,2.42,1.89,0.30,20,0.12,0.030,2
MWP1G326965-003580,,326.965,-0.358,4.45,2.01,0.19,10,0.12,0.059,
MWP1G024743+000618,,024.743,+0.062,0.78,0.85,0.40,20,0.12,0.008,
MWP1G012680+004869,,012.680,+0.487,1.65,1.51,0.67,49,0.12,0.011,1
MWP1G331180-004567,,331.180,-0.457,1.06,1.07,0.14,1,0.12,0.006,1
MWP1G305123-007483,,305.123,-0.748,2.91,2.11,0.50,16,0.12,0.024,
MWP1G038272+007283,,038.272,+0.728,2.33,1.74,0.39,71,0.12,0.008,
MWP1G339288-008258,,339.288,-0.826,1.25,1.11,0.54,18,0.12,0.006,2
MWP1G024738+006918,,024.738,+0.692,2.75,2.17,0.31,24,0.12,0.010,1
MWP1G038854-001419,,038.854,-0.142,1.30,1.19,0.26,5,0.12,0.009,
MWP1G002559-007335,,002.559,-0.733,0.60,0.61,0.18,14,0.12,0.004,
MWP1G345995-000246,,345.995,-0.025,0.55,0.42,0.44,10,0.12,0.004,
MWP1G020562-007955,,020.562,-0.795,0.51,0.51,0.22,53,0.12,0.001,
MWP1G000843-001063,,000.843,-0.106,0.49,0.55,0.13,0,0.12,0.001,
MWP1G016265-000771,,016.265,-0.077,2.79,2.74,0.29,41,0.12,0.023,
MWP1G023357+006942,,023.357,+0.694,2.97,3.08,0.49,24,0.12,0.011,
MWP1G306736-000904,,306.736,-0.090,1.48,1.42,0.33,12,0.12,0.018,
MWP1G335397+000411,,335.397,+0.041,0.37,0.40,0.17,2,0.12,0.002,
MWP1G030054-003389,,030.054,-0.339,0.51,0.71,0.36,0,0.12,0.002,
MWP1G311409+006727,,311.409,+0.673,2.07,1.74,0.81,1,0.12,0.015,1
MWP1G062141-001402,,062.141,-0.140,0.66,0.85,0.10,14,0.12,0.003,
MWP1G315067-001253,,315.067,-0.125,0.97,0.86,0.45,28,0.12,0.005,
MWP1G030692-002794,,030.692,-0.279,0.50,0.46,0.22,2,0.12,0.001,2
MWP1G036252+008763,,036.252,+0.876,0.77,0.69,0.29,20,0.12,0.003,
MWP1G040425+006990,,040.425,+0.699,0.45,0.51,0.28,3,0.12,0.001,2
MWP1G312261+002665,,312.261,+0.266,0.34,0.39,0.12,9,0.12,0.002,
MWP1G321687+007424,,321.687,+0.742,0.49,0.44,0.13,17,0.12,0.002,
MWP1G031409+003161,,031.409,+0.316,0.81,0.64,0.07,17,0.12,0.003,
MWP1G335865+004803,,335.865,+0.480,0.58,0.52,0.17,7,0.12,0.003,2
MWP1G048433-009213,,048.433,-0.921,0.99,1.27,0.71,4,0.12,0.004,
MWP1G014543-008242,,014.543,-0.824,0.62,0.66,0.46,5,0.12,0.002,
MWP1G043197-007212,,043.197,-0.721,0.45,0.38,0.58,119,0.12,0.002,
MWP1G330154-001860,,330.154,-0.186,0.58,0.41,0.76,168,0.12,0.002,
MWP1G299352-002718,,299.352,-0.272,0.48,0.67,0.53,51,0.12,0.003,2
MWP1G343627+003246,,343.627,+0.325,1.82,0.98,0.54,15,0.12,0.005,
MWP1G041397-004977,,041.397,-0.498,0.45,0.71,0.00,0,0.12,0.002,
MWP1G301525-003473,,301.525,-0.347,0.56,0.46,0.47,30,0.12,0.002,2
MWP1G329094-003052,,329.094,-0.305,0.46,0.44,0.37,23,0.12,0.001,
MWP1G061748+005819,,061.748,+0.582,6.12,2.82,0.14,11,0.12,0.095,
MWP1G305544+003642,S150,305.544,+0.364,2.46,3.07,0.17,8,0.12,0.020,1
MWP1G331566-000065,,331.566,-0.007,4.43,2.44,0.11,15,0.12,0.048,1
MWP1G320991-005084,,320.991,-0.508,1.28,1.02,0.20,19,0.12,0.004,1
MWP1G034262+001267,,034.262,+0.127,2.67,2.03,0.05,29,0.12,0.016,1
MWP1G323409-001537,,323.409,-0.154,4.46,3.69,0.51,35,0.12,0.028,1
MWP1G026478-006393,,026.478,-0.639,0.46,0.67,0.09,0,0.12,0.003,2
MWP1G317081+000224,,317.081,+0.022,4.01,2.04,0.47,66,0.12,0.022,1
MWP1G037754+005577,,037.754,+0.558,0.97,0.89,0.36,18,0.12,0.004,
MWP1G022361+003320,,022.361,+0.332,1.35,1.10,0.63,42,0.12,0.009,
MWP1G049432-004580,,049.432,-0.458,1.62,1.47,0.37,85,0.12,0.008,1
MWP1G015233-008585,,015.233,-0.859,1.70,1.53,0.47,45,0.12,0.006,
MWP1G330370+001558,,330.370,+0.156,2.26,1.41,0.41,37,0.12,0.008,1
MWP1G325044-003601,,325.044,-0.360,1.61,1.35,0.85,113,0.12,0.013,
MWP1G350105+000838,,350.105,+0.084,1.21,0.81,0.72,27,0.12,0.006,
MWP1G313289-002194,,313.289,-0.219,2.28,1.17,0.60,95,0.12,0.018,
MWP1G319284-005435,,319.284,-0.544,0.58,0.75,0.22,15,0.12,0.002,
MWP1G037018-003582,,037.018,-0.358,2.38,1.85,0.57,56,0.12,0.009,
