Catalogue ID,Churchwell ID,l,b,Effective Radius (arcmin),Thickness (arcmin),Eccentricity,Position Angle (deg),Hit Rate,Dispersion (arcmin),Hierarchy Flag
MWP1G333256+000644,,333.256,0.064,0.86,0.65,0.48,36,0.2,0.0060,
MWP1G337529-002977,,337.529,-0.298,1.8,1.97,0.19,16,0.2,0.012,
MWP1G331343+005697,S60,331.343,0.57,1.22,1.23,0.14,16,0.2,0.0060,2
MWP1G311004-003548,,311.004,-0.355,1.14,0.79,0.43,45,0.2,0.0060,
MWP1G014602+005743,,14.602,0.574,3.08,1.85,0.42,25,0.2,0.0070,
MWP1G345598-002201,,345.598,-0.22,0.4,0.47,0.29,10,0.2,0.0010,
MWP1G312387-000586,,312.387,-0.059,0.64,0.76,0.23,35,0.2,0.0060,
MWP1G358541+001299,CS14,358.541,0.13,0.94,1.0,0.2,2,0.2,0.0020,
MWP1G329448+005067,,329.448,0.507,0.6,0.65,0.52,64,0.2,0.0040,
MWP1G318058-004489,,318.058,-0.449,0.49,0.59,0.28,0,0.2,0.0020,
MWP1G310519-002172,,310.519,-0.217,0.49,0.52,0.04,2,0.2,0.0010,
MWP1G036920-002944,,36.92,-0.294,0.44,0.52,0.13,0,0.2,0.0010,
MWP1G335747+001275,,335.747,0.127,5.66,5.36,0.35,34,0.2,0.067,1
MWP1G320038-005491,,320.038,-0.549,0.52,0.68,0.1,9,0.2,0.0030,
MWP1G328814+003154,,328.814,0.315,1.43,1.41,0.33,40,0.2,0.0060,
MWP1G039527-004579,,39.527,-0.458,0.45,0.59,0.34,34,0.2,0.0020,
MWP1G350884+007300,CS95,350.884,0.73,0.67,0.74,0.31,23,0.2,0.0030,2
MWP1G036910-003084,,36.91,-0.308,0.5,0.48,0.14,0,0.2,0.0050,
MWP1G298910-003464,,298.91,-0.346,1.48,1.49,0.28,35,0.2,0.0070,
MWP1G303872-003748,,303.872,-0.375,0.44,0.47,0.22,0,0.2,0.0020,
MWP1G039543-003672,,39.543,-0.367,0.38,0.52,0.35,10,0.2,0.0030,
MWP1G056259-001024,,56.259,-0.102,1.05,1.25,0.73,95,0.2,0.0060,
MWP1G332293-001020,,332.293,-0.102,0.49,0.45,0.26,12,0.2,0.0040,
MWP1G350852-000436,,350.852,-0.044,0.4,0.45,0.35,27,0.2,0.0030,
MWP1G028611+000144,,28.611,0.014,0.49,0.42,0.49,45,0.2,0.0030,
MWP1G039506+006949,,39.506,0.695,1.62,1.14,0.47,42,0.2,0.0040,
MWP1G319509-004204,,319.509,-0.42,1.04,1.26,0.25,4,0.2,0.0060,
MWP1G306704+004210,,306.704,0.421,0.58,0.5,0.32,1,0.2,0.0010,
MWP1G042224-000542,,42.224,-0.054,0.5,0.71,0.19,17,0.2,0.0040,2
MWP1G321926-000297,,321.926,-0.03,0.93,0.95,0.44,18,0.2,0.01,
MWP1G008496-002879,CN117,8.496,-0.288,0.46,0.51,0.28,25,0.2,0.0010,2
MWP1G350808-008353,,350.808,-0.835,0.77,0.92,0.28,45,0.2,0.0050,2
MWP1G016994+000031,,16.994,0.0030,0.49,0.57,0.22,11,0.2,0.0030,
MWP1G319922+003398,,319.922,0.34,0.51,0.58,0.2,12,0.2,0.0030,
MWP1G034435-000701,,34.435,-0.07,0.49,0.56,0.09,22,0.2,0.0040,2
MWP1G045003-006410,,45.003,-0.641,2.68,1.97,0.35,20,0.2,0.031,
MWP1G353541-004565,CS54,353.541,-0.456,0.47,0.68,0.09,3,0.2,0.0020,
MWP1G306362-002930,,306.362,-0.293,0.81,0.88,0.51,28,0.2,0.0060,
MWP1G001328+000929,CN26,1.328,0.093,0.61,0.52,0.39,45,0.2,0.0090,
MWP1G046214+005477,,46.214,0.548,0.37,0.42,0.26,1,0.2,0.0020,
MWP1G326957-000292,S76,326.957,-0.029,5.63,4.13,0.1,22,0.2,0.07,1
MWP1G016386-005462,,16.386,-0.546,1.63,1.62,0.24,7,0.2,0.0090,
MWP1G328235+009974,,328.235,0.997,0.54,0.67,0.09,24,0.2,0.0020,
MWP1G024216-000411,N33,24.216,-0.041,0.5,0.57,0.12,1,0.2,0.0030,
MWP1G353524+005880,,353.524,0.588,3.97,3.81,0.31,26,0.2,0.012,
MWP1G306108+001293,,306.108,0.129,0.59,0.63,0.48,47,0.2,0.0050,
MWP1G304087+004328,,304.087,0.433,0.57,0.5,0.11,7,0.2,0.0020,
MWP1G313458-001336,,313.458,-0.134,0.55,0.6,0.51,6,0.2,0.0040,
MWP1G312525-002671,,312.525,-0.267,0.73,0.9,0.31,33,0.2,0.0040,
MWP1G012311+004242,,12.311,0.424,1.4,1.03,0.59,13,0.2,0.01,
MWP1G019972+004181,,19.972,0.418,0.41,0.47,0.29,11,0.2,0.0020,
MWP1G014480-000009,,14.48,-0.0010,0.38,0.35,0.1,0,0.2,0.0030,
MWP1G298732-004173,S177,298.732,-0.417,5.09,4.65,0.29,32,0.2,0.052,1
MWP1G005853-001132,,5.853,-0.113,1.65,1.44,0.21,35,0.2,0.022,
MWP1G309350-005844,,309.35,-0.584,0.57,0.66,0.3,26,0.2,0.0020,
MWP1G038046-000318,,38.046,-0.032,1.2,1.35,0.09,19,0.2,0.01,
MWP1G031264+000355,,31.264,0.035,0.86,0.91,0.24,13,0.2,0.0050,
MWP1G012335-001147,,12.335,-0.115,0.49,0.64,0.45,58,0.2,0.0030,
MWP1G023242-002328,,23.242,-0.233,1.17,1.23,0.26,7,0.2,0.0060,
MWP1G341084-001458,,341.084,-0.146,0.39,0.45,0.39,23,0.2,0.0020,2
MWP1G356311-006764,,356.311,-0.676,1.64,1.42,0.49,23,0.2,0.0080,
MWP1G032957+001262,,32.957,0.126,0.5,0.56,0.39,3,0.2,0.0020,
MWP1G032714+000291,,32.714,0.029,0.67,0.73,0.31,0,0.2,0.0040,
MWP1G311816+000583,,311.816,0.058,0.57,0.59,0.19,15,0.2,0.0020,
MWP1G337402-003104,,337.402,-0.31,0.29,0.22,0.31,10,0.2,0.0020,
MWP1G030181+003544,,30.181,0.354,0.58,0.46,0.26,16,0.2,0.0040,
MWP1G306624+002708,,306.624,0.271,0.58,0.96,0.67,77,0.2,0.0050,
MWP1G323466+003624,,323.466,0.362,0.4,0.38,0.1,0,0.2,0.0010,
MWP1G348873+000849,,348.873,0.085,0.42,0.34,0.23,29,0.2,0.0020,
MWP1G313818-007126,,313.818,-0.713,1.4,1.36,0.41,22,0.2,0.0040,
MWP1G023585+000273,,23.585,0.027,0.48,0.58,0.51,17,0.2,0.0050,
MWP1G329394-004496,,329.394,-0.45,0.67,0.8,0.14,6,0.2,0.0080,
MWP1G326272+007678,,326.272,0.768,9.93,5.12,0.53,15,0.2,0.057,1
MWP1G351553+002033,CS83,351.553,0.203,0.94,1.18,0.47,5,0.2,0.0050,
MWP1G323916+000320,S84,323.916,0.032,0.5,0.56,0.3,6,0.2,0.0020,2
MWP1G048512+002338,,48.512,0.234,1.14,1.0,0.05,9,0.2,0.0040,
MWP1G323482-001805,,323.482,-0.18,0.67,0.66,0.27,26,0.2,0.0020,2
MWP1G341269-002656,,341.269,-0.266,0.5,0.64,0.46,59,0.2,0.0030,
MWP1G017629+001220,,17.629,0.122,1.08,1.6,0.46,17,0.2,0.0060,
MWP1G298468-000355,,298.468,-0.036,0.96,0.7,0.22,19,0.2,0.0090,2
MWP1G332769-003037,,332.769,-0.304,0.28,0.21,0.17,13,0.2,0.0020,
MWP1G059070+004015,,59.07,0.402,2.91,1.83,0.17,27,0.2,0.015,
MWP1G013209-001804,,13.209,-0.18,0.76,0.38,0.5,101,0.2,0.0020,
MWP1G347493+002590,,347.493,0.259,3.06,3.95,0.75,18,0.2,0.016,1
